One	CD	CUE-1
could	MD	_
argue	VB	_
that	IN	_
Silly	NNP	_
Putty	NNP	_
is	VBZ	_
the	DT	CUE-2
most	RBS	CUE-2
entertaining	JJ	CUE-2
accident	NN	_
that	WDT	_
has	VBZ	_
ever	RB	_
happened	VBN	_
.	.	_

During	IN	_
World	NNP	_
War	NNP	_
II	NNP	_
,	,	_
Japan	NNP	_
invaded	VBD	_
rubber	NN	_
producing	VBG	_
countries	NNS	_
in	IN	_
order	NN	_
to	TO	_
cut	VB	_
off	RP	_
the	DT	_
United	NNP	_
States	NNP	_
supply	NN	_
of	IN	_
rubber	NN	_
.	.	_

It	PRP	_
was	VBD	_
needed	VBN	_
in	IN	_
order	NN	_
to	TO	_
produce	VB	_
tires	NNS	_
for	IN	_
vehicles	NNS	_
,	,	_
boots	NNS	_
for	IN	_
solders	NNS	_
,	,	_
gas	NN	_
masks	NNS	_
,	,	_
rafts	NNS	_
,	,	_
and	CC	_
even	RB	_
bombers	NNS	_
.	.	_

To	TO	_
help	VB	_
combat	VB	_
the	DT	_
lack	NN	_
of	IN	_
rubber	NN	_
US	NNP	_
citizens	NNS	_
were	VBD	_
asked	VBN	_
to	TO	_
donate	VB	_
any	DT	_
rubber	NN	_
around	IN	_
their	PRP$	_
house	NN	_
such	JJ	_
as	IN	_
spare	JJ	_
tires	NNS	_
,	,	_
rubber	NN	_
boots	NNS	_
,	,	_
and	CC	_
rubber	NN	_
rain	NN	_
coats	NNS	_
.	.	_

All	DT	_
rubber	NN	_
made	VBN	_
products	NNS	_
were	VBD	_
rationed	VBN	_
and	CC	_
citizens	NNS	_
had	VBD	_
to	TO	_
make	VB	_
their	PRP$	_
products	NNS	_
last	RB	_
till	IN	_
the	DT	_
end	NN	_
of	IN	_
the	DT	_
war	NN	_
.	.	_

Also	RB	_
in	IN	_
response	NN	_
the	DT	_
government	NN	_
asked	VBD	_
producers	NNS	_
to	TO	_
try	VB	_
and	CC	_
come	VB	_
up	RP	_
with	IN	_
a	DT	_
synthetic	JJ	_
rubber	NN	_
compound	NN	_
.	.	_

